City,Total_Incidents_Crimes_Financial,Total_Incidents_Crimes_Miscellaneous,Total_Incidents_Crimes_Negligence_Accidents,Total_Incidents_Crimes_Person,Total_Incidents_Crimes_Property,Total_Incidents_Crimes_Public_Order,Total_Incidents_Crimes_State,Total_Victims_Crimes_Financial,Total_Victims_Crimes_Miscellaneous,Total_Victims_Crimes_Negligence_Accidents,Total_Victims_Crimes_Person,Total_Victims_Crimes_Property,Total_Victims_Crimes_Public_Order,Total_Victims_Crimes_State,Total_Reported_Crimes_Financial,Total_Reported_Crimes_Miscellaneous,Total_Reported_Crimes_Negligence_Accidents,Total_Reported_Crimes_Person,Total_Reported_Crimes_Property,Total_Reported_Crimes_Public_Order,Total_Reported_Crimes_State,Severity_Crimes_Financial,Reporting_Crimes_Financial,Severity_Crimes_Miscellaneous,Reporting_Crimes_Miscellaneous,Severity_Crimes_Negligence_Accidents,Reporting_Crimes_Negligence_Accidents,Severity_Crimes_Person,Reporting_Crimes_Person,Severity_Crimes_Property,Reporting_Crimes_Property,Severity_Crimes_Public_Order,Reporting_Crimes_Public_Order,Severity_Crimes_State,Reporting_Crimes_State,Cluster,PCA1,PCA2,Cluster_Label
Ahmedabad (Gujarat),-0.6985934588855308,0.015307249390011176,-0.2477114723254752,-0.4726250068249128,-0.25706986193608655,-1.021280581074296,-0.34299717028501764,-0.6981305048849156,-0.2804434116376612,-0.48360895597864717,-0.47166567156578826,-0.24941259462235324,-0.8285101049205071,-0.34299717028501764,-0.7078230708427536,0.08309727848382674,-0.42464520072436346,-0.7503480423798293,-0.4079266571399311,-0.9222772425298132,0.0,-0.37099847364979394,-0.7750502422467875,-3.017743547114934,-0.7751524637423645,-3.058115308766925,-0.7739672545372818,-0.3275968055936557,-0.785066761985578,-0.24873397824306287,-0.7748648047886715,0.22394321524131883,-0.7737341355132152,-0.34299717028501764,0.0,3,-0.7107577743445177,3.061559505619116,Below-Average Severity and Reporting
Bengaluru (Karnataka),0.5173138148567563,-0.03502070767433042,0.0714102709708951,0.3337356529031283,-0.13870977081842273,0.24483364935163,-0.34299717028501764,0.6173618188836493,-0.050421184810116086,0.17023073523897933,0.3746567180421436,-0.17437357799714168,0.6218687935406859,-0.34299717028501764,-0.0072554540953465784,-0.3978041932794827,-0.3324808783162018,-0.4006879094406209,-0.23018384184118748,-0.4902706451044461,0.0,1.5955688337075626,-1.0250161481739073,0.41747338994012123,-1.024793056856121,0.788121713615022,-1.0252333830620615,1.8254178992774568,-1.058294116532821,-0.1743704754167874,-1.0246395077829131,0.3836469586581347,-1.0073135722591016,-0.34299717028501764,0.0,1,2.19296127368218,1.0379719107630032,"Slightly Above-Average Person Crime Severity, Below-Average Reporting"
Chennai (Tamil Nadu),-0.45104088348756377,-0.298988243592625,-0.05074993619835105,-0.26847078685595366,-0.24981663699280568,1.403554262018214,-0.34299717028501764,-0.46494072106551887,-0.2582237624501901,0.08442166134638385,-0.27921683128066965,-0.24497816826277996,-0.1356539432352238,-0.34299717028501764,-0.6083876671753798,-0.9347311645364899,-0.4183392207701208,-0.815759487425264,-0.45191770749072085,-0.07626432257180264,0.0,-0.37034179281579643,-1.039651964708026,0.45032594236598356,-1.0416330556587323,1.2781216325885727,-1.042296160512526,-0.707290227381014,-1.103426789430485,-0.26079699140734147,-1.0423544946827135,-1.73848428510886,-1.0232780922288567,-0.34299717028501764,0.0,1,0.4010295435624007,1.4514635461305248,"Slightly Above-Average Person Crime Severity, Below-Average Reporting"
Coimbatore (Tamil Nadu),-0.8128484936845924,-0.4856559244868601,-0.5221359797905736,-0.7265357542676374,-0.3079920610221655,0.0074372311467688825,-0.34299717028501764,-0.8056467044236925,-0.40758398937843754,-0.49615307906887834,-0.7192139723474762,-0.2811460421144347,-0.5082565901859761,-0.34299717028501764,-0.6208170926338015,-0.91484498041586,-0.2854285663499299,-0.4167839194779793,-0.3843303794585101,0.967751621206168,0.0,-0.3560042612735177,1.1639324772960409,0.36707373085465544,1.1556216194024371,0.8965628122659773,1.1561822960741888,-0.37357842340015024,0.7955775003970009,-0.24024343958169614,1.1539068060531008,-1.3790045002673708,1.156134523569135,-0.34299717028501764,0.0,0,-3.0340603392718495,-1.735740695763421,"Below-Average Severity, Average Reporting"
Delhi City,1.446285148933218,4.112323860125807,0.5091127713391407,3.4824645370611726,4.221882040244485,1.3950758185108973,-0.34299717028501764,1.9044959799655155,4.170878813922755,0.5479179195861555,3.517255778368813,4.234555939724903,1.9644700668508353,-0.34299717028501764,-0.13380960421745886,3.412503412218516,-0.43386163296517966,0.28596102938710977,4.0298335866030826,-0.5712718821217024,0.0,3.7215897093503765,-1.3797595768786395,1.8665297504183744,-1.3784831216722937,0.18050951974616292,-1.3775201256308083,1.2031646599102526,-1.3689420013310132,4.235356600097862,-1.3788204152346268,0.4291511494842207,-1.369888210240677,-0.34299717028501764,0.0,2,12.723076492920642,-2.968578946503524," High Severity, Low Reporting"
Ghaziabad (Uttar Pradesh),-0.6334594333656112,-0.40575718528570176,-0.6222688017452299,-0.3027043865384607,-0.25484686961555253,-1.1399787901767264,-0.34299717028501764,-0.6361097749801942,-0.34708536520452,-0.596142466019996,-0.31481853582857366,-0.24810312938103782,-0.9516845336645575,-0.34299717028501764,-0.24906427665009676,-0.3867138213660546,-0.5585260059067456,0.5688398440862147,-0.030504788496901823,-0.7512746310489388,0.0,-0.3327071010506329,0.8987950776790742,0.2581065825791369,0.8973904704156364,1.6625878605815694,0.9021756309140612,-0.8659175711869337,0.7975255561185897,-0.2598065938248028,0.8977098372356468,0.2704852209458945,0.9500799460425823,-0.34299717028501764,0.0,0,-2.409143997994494,-1.0748746096469937,"Below-Average Severity, Average Reporting"
Hyderabad (Telangana),2.096327051464243,-0.15421909543179327,-0.26322242274741553,-0.022806594802335066,-0.2563644893728402,-0.7556226845117132,-0.34299717028501764,1.9448910606271432,-0.15899582240763266,-0.258360137010584,-0.03799032850281516,-0.24903085221302063,-0.5236533937789825,-0.34299717028501764,1.1441613224620855,-0.5586145860241918,-0.5100184677971868,-0.48938719879542497,-0.44492182616808845,-0.8502761429589187,0.0,-0.3132421935513162,-0.9529502554217788,0.15897491338658323,-0.9531656860838362,0.10141943158523666,-0.9513299106166409,-0.5258561303882417,-0.9210379810871426,-0.2572699628530396,-0.9529203045767196,0.3116413613615124,-0.9552999681766567,-0.34299717028501764,0.0,1,1.2396188330609537,1.9768975236733262,"Slightly Above-Average Person Crime Severity, Below-Average Reporting"
Indore (Madhya Pradesh),-0.6739247581902789,-0.30792614526256085,-0.10600196077828056,0.8271430005538375,-0.2422427881571401,-1.007149841895435,-0.34299717028501764,-0.6746687156117479,-0.2729575565959166,-0.09146876024490037,0.7956884650974498,-0.24067690785995063,-0.6745420689904442,-0.34299717028501764,-0.28748250079430937,0.4687745224387354,0.7254685278532745,3.223996563652996,0.11901735299190114,-0.5532716072289788,0.0,-0.3560042612735177,1.1434662774077917,0.2240312731218633,1.1325868039947695,0.161136473133709,1.1339882362792266,-0.27662920452872075,0.8142079543100889,-0.31272293973074483,1.1350808102768541,1.2354007320711136,1.0301302456150168,-0.34299717028501764,0.0,0,-1.71159757109128,-2.285448452848124,"Below-Average Severity, Average Reporting"
Jaipur (Rajasthan),1.7072540352356202,-0.10077247735493297,-0.19062383231099653,0.14219381176456644,-0.11071574252554403,1.349857453138543,-0.34299717028501764,1.5656261366374162,-0.13073480780054703,-0.1810956107301749,0.15379305936084733,-0.15828713042247342,-0.8870179585739311,-0.34299717028501764,3.5791987645437993,1.051592687820273,0.1176690753405033,1.1188439317457337,0.6128791446658618,1.7327633041469224,0.0,-0.38571168319672633,0.28260220879793024,-0.03525867884884421,0.2790337039270243,0.13553431409247033,0.2794600067883698,0.7614606364567954,0.37480921227965897,-0.256201716964038,0.28051194382014716,-2.503399205286768,0.28660176977883334,-0.34299717028501764,0.0,0,0.3492138385397483,-2.5214730264723593,"Below-Average Severity, Average Reporting"
Kanpur (Uttar Pradesh),-0.7297539229216385,-0.3138922793734662,-0.4789990170786685,-0.7363068829219562,-0.3023205806146492,-0.8630163022710552,-0.34299717028501764,-0.7273047298072023,-0.28052838161543353,-0.48851752588352026,-0.7333881089244921,-0.27765265518251864,-0.6499071832416341,-0.34299717028501764,-0.5462405398832711,-0.053620237345503786,-0.35430927046550326,-0.3393860839791926,-0.41432966716403524,-0.5172710574435316,0.0,-0.3560042612735177,0.3788951144863016,0.13240830283839186,0.38613373450799204,-0.12104947763551575,0.38498138977346974,-1.003670516630589,1.08687535397191,-0.2559662641060589,0.38817826626359553,0.2704852209458945,0.4191716954246701,-0.34299717028501764,0.0,0,-2.1632532578341057,-0.05163048849544864,"Below-Average Severity, Average Reporting"
